,date,open,high,low,close,volume
1811,2018-04-13,7901.09,8183.96,7758.93,7895.96,7764460032
1812,2018-04-14,7874.67,8140.71,7846.0,7986.24,5191430144
1813,2018-04-15,7999.33,8338.42,7999.33,8329.11,5244480000
1814,2018-04-16,8337.57,8371.15,7925.73,8058.67,5631309824
1815,2018-04-17,8071.66,8285.96,7881.72,7902.09,6900879872
1816,2018-04-18,7944.43,8197.8,7886.01,8163.42,6529909760
1817,2018-04-19,8159.27,8298.69,8138.78,8294.31,7063209984
1818,2018-04-20,8286.88,8880.23,8244.54,8845.83,8438110208
1819,2018-04-21,8848.79,8997.57,8652.15,8895.58,7548550144
1820,2018-04-22,8925.06,9001.64,8779.61,8802.46,6629899776
1821,2018-04-23,8794.39,8958.55,8788.81,8930.88,6925190144
1822,2018-04-24,8934.34,9732.61,8927.83,9697.5,10678800384
1823,2018-04-25,9701.03,9745.32,8799.84,8845.74,11083100160
1824,2018-04-26,8867.32,9281.51,8727.09,9281.51,8970559488
1825,2018-04-27,9290.63,9375.47,8987.05,8987.05,7566289920
1826,2018-04-28,8939.27,9412.09,8931.99,9348.48,7805479936
1827,2018-04-29,9346.41,9531.49,9193.71,9419.08,8853000192
1828,2018-04-30,9426.11,9477.14,9166.81,9240.55,8673920000
1829,2018-05-01,9251.47,9255.88,8891.05,9119.01,7713019904
1830,2018-05-02,9104.6,9256.52,9015.14,9235.92,7558159872
1831,2018-05-03,9233.97,9798.33,9188.15,9743.86,10207299584
1832,2018-05-04,9695.5,9779.2,9585.96,9700.76,8217829888
1833,2018-05-05,9700.28,9964.5,9695.12,9858.15,7651939840
1834,2018-05-06,9845.31,9940.14,9465.25,9654.8,7222280192
1835,2018-05-07,9645.67,9665.85,9231.53,9373.01,7394019840
1836,2018-05-08,9380.87,9462.75,9127.77,9234.82,7415869952
1837,2018-05-09,9223.73,9374.76,9031.62,9325.18,7226890240
1838,2018-05-10,9325.96,9396.04,9040.52,9043.94,6906699776
1839,2018-05-11,9052.96,9052.96,8394.46,8441.49,8488520192
1840,2018-05-12,8441.44,8664.86,8223.5,8504.89,6821380096
1841,2018-05-13,8515.49,8773.55,8395.12,8723.94,5866379776
1842,2018-05-14,8713.1,8881.12,8367.97,8716.79,7364149760
1843,2018-05-15,8705.19,8836.19,8456.45,8510.38,6705710080
1844,2018-05-16,8504.41,8508.43,8175.49,8368.83,6760220160
1845,2018-05-17,8370.05,8445.54,8054.12,8094.32,5862530048
1846,2018-05-18,8091.83,8274.12,7974.82,8250.97,5764190208
1847,2018-05-19,8255.73,8372.06,8183.35,8247.18,4712399872
1848,2018-05-20,8246.99,8562.41,8205.24,8513.25,5191059968
1849,2018-05-21,8522.33,8557.52,8365.12,8418.99,5154990080
1850,2018-05-22,8419.87,8423.25,8004.58,8041.78,5137010176
1851,2018-05-23,8037.08,8054.66,7507.88,7557.82,6491120128
1852,2018-05-24,7561.12,7738.6,7331.14,7587.34,6049220096
1853,2018-05-25,7592.3,7659.14,7392.65,7480.14,4867829760
1854,2018-05-26,7486.48,7595.16,7349.12,7355.88,4051539968
1855,2018-05-27,7362.08,7381.74,7270.96,7368.22,4056519936
1856,2018-05-28,7371.31,7419.05,7100.89,7135.99,5040600064
1857,2018-05-29,7129.46,7526.42,7090.68,7472.59,5662660096
1858,2018-05-30,7469.73,7573.77,7313.6,7406.52,4922540032
1859,2018-05-31,7406.15,7608.9,7361.13,7494.17,5127130112
1860,2018-06-01,7500.7,7604.73,7407.34,7541.45,4921460224
1861,2018-06-02,7536.72,7695.83,7497.26,7643.45,4939299840
1862,2018-06-03,7632.09,7754.89,7613.04,7720.25,4851760128
1863,2018-06-04,7722.53,7753.82,7474.04,7514.47,4993169920
1864,2018-06-05,7500.9,7643.23,7397.0,7633.76,4961739776
1865,2018-06-06,7625.97,7680.43,7502.01,7653.98,4692259840
1866,2018-06-07,7650.82,7741.27,7650.82,7678.24,4485799936
1867,2018-06-08,7685.14,7698.19,7558.4,7624.92,4227579904
1868,2018-06-09,7632.52,7683.58,7531.98,7531.98,3845220096
1869,2018-06-10,7499.55,7499.55,6709.07,6786.02,5804839936
1870,2018-06-11,6799.29,6910.18,6706.63,6906.92,4745269760
1871,2018-06-12,6905.82,6907.96,6542.08,6582.36,4654380032
1872,2018-06-13,6596.88,6631.66,6285.63,6349.9,5052349952
1873,2018-06-14,6342.75,6707.14,6334.46,6675.35,5138710016
1874,2018-06-15,6674.08,6681.08,6433.87,6456.58,3955389952
1875,2018-06-16,6455.45,6592.49,6402.29,6550.16,3194170112
1876,2018-06-17,6545.53,6589.11,6499.27,6499.27,3104019968
1877,2018-06-18,6510.07,6781.14,6446.68,6734.82,4039200000
1878,2018-06-19,6742.39,6822.5,6709.92,6769.94,4057029888
1879,2018-06-20,6770.76,6821.56,6611.88,6776.55,3888640000
1880,2018-06-21,6780.09,6810.94,6715.17,6729.74,3529129984
1881,2018-06-22,6737.88,6747.08,6006.6,6083.69,5079810048
1882,2018-06-23,6090.1,6224.82,6071.81,6162.48,3431360000
1883,2018-06-24,6164.28,6223.78,5826.41,6173.23,4566909952
1884,2018-06-25,6171.97,6327.37,6119.68,6249.18,5500810240
1885,2018-06-26,6253.55,6290.16,6093.67,6093.67,3279759872
1886,2018-06-27,6084.4,6180.0,6052.85,6157.13,3296219904
1887,2018-06-28,6153.16,6170.41,5873.05,5903.44,3467800064
1888,2018-06-29,5898.13,6261.66,5835.75,6218.3,3966230016
1889,2018-06-30,6214.22,6465.51,6214.22,6404.0,4543860224
1890,2018-07-01,6411.68,6432.85,6289.29,6385.82,4788259840
1891,2018-07-02,6380.38,6683.86,6305.7,6614.18,4396930048
1892,2018-07-03,6596.66,6671.37,6447.75,6529.59,4672309760
1893,2018-07-04,6550.87,6771.92,6450.46,6597.55,4176689920
1894,2018-07-05,6599.71,6749.54,6546.65,6639.14,4999240192
1895,2018-07-06,6638.69,6700.94,6533.55,6673.5,4313959936
1896,2018-07-07,6668.71,6863.99,6579.24,6856.93,3961080064
1897,2018-07-08,6857.8,6885.91,6747.98,6773.88,3386210048
1898,2018-07-09,6775.08,6838.68,6724.34,6741.75,3718129920
1899,2018-07-10,6739.21,6767.74,6320.72,6329.95,4052430080
1900,2018-07-11,6330.77,6444.96,6330.47,6394.71,3644859904
1901,2018-07-12,6396.78,6397.1,6136.42,6228.81,3770170112
1902,2018-07-13,6235.03,6310.55,6192.24,6238.05,3805400064
1903,2018-07-14,6247.5,6298.19,6212.22,6276.12,2923670016
1904,2018-07-15,6272.7,6403.46,6256.51,6359.64,3285459968
1905,2018-07-16,6357.01,6741.75,6357.01,6741.75,4725799936
1906,2018-07-17,6739.65,7387.24,6684.17,7321.04,5961950208
1907,2018-07-18,7315.32,7534.99,7280.47,7370.78,6103410176
1908,2018-07-19,7378.2,7494.46,7295.46,7466.86,5111629824
1909,2018-07-20,7467.4,7594.67,7323.26,7354.13,4936869888
1910,2018-07-21,7352.72,7437.64,7262.41,7419.29,3726609920
1911,2018-07-22,7417.8,7537.95,7383.82,7418.49,3695460096
1912,2018-07-23,7414.71,7771.5,7409.1,7711.11,5132480000
1913,2018-07-24,7716.51,8424.27,7705.5,8424.27,7277689856
1914,2018-07-25,8379.66,8416.87,8086.36,8181.39,5845400064
1915,2018-07-26,8176.85,8290.33,7878.71,7951.58,4899089920
1916,2018-07-27,7950.4,8262.66,7839.76,8165.01,5195879936
1917,2018-07-28,8169.06,8222.85,8110.77,8192.15,3988750080
1918,2018-07-29,8205.82,8272.26,8141.18,8218.46,4107190016
1919,2018-07-30,8221.58,8235.5,7917.5,8180.48,5551400000
1920,2018-07-31,8181.2,8181.53,7696.93,7780.44,5287530000
1921,2018-08-01,7769.04,7769.04,7504.95,7624.91,4797620000
1922,2018-08-02,7634.19,7712.77,7523.44,7567.15,4214110000
1923,2018-08-03,7562.14,7562.14,7328.65,7434.39,4627150000
1924,2018-08-04,7438.67,7497.49,6984.07,7032.85,4268390000
1925,2018-08-05,7031.08,7102.77,6940.7,7068.48,3679110000
1926,2018-08-06,7062.94,7166.55,6890.54,6951.8,3925900000
1927,2018-08-07,6958.32,7146.56,6748.24,6753.12,4682800000
1928,2018-08-08,6746.85,6746.85,6226.22,6305.8,5064430000
1929,2018-08-09,6305.56,6625.73,6249.07,6568.23,4267040000
1930,2018-08-10,6571.42,6591.26,6124.52,6184.71,4528680000
1931,2018-08-11,6185.79,6455.74,6109.03,6295.73,4047850000
1932,2018-08-12,6283.65,6409.85,6237.5,6322.69,5665250000
1933,2018-08-13,6341.36,6537.05,6225.72,6297.57,4083980000
1934,2018-08-14,6287.66,6287.94,5971.05,6199.71,5301700000
1935,2018-08-15,6221.42,6588.49,6221.42,6308.52,4895450000
1936,2018-08-16,6294.23,6473.5,6276.41,6334.73,4328420000
1937,2018-08-17,6340.91,6582.5,6324.97,6580.63,4992990000
1938,2018-08-18,6583.43,6617.35,6353.73,6423.76,3984520000
1939,2018-08-19,6422.57,6537.98,6361.55,6506.07,3311170000
1940,2018-08-20,6500.51,6536.92,6297.93,6308.53,3665100000
1941,2018-08-21,6301.07,6500.87,6298.24,6488.76,3377180000
1942,2018-08-22,6486.25,6816.79,6310.11,6376.71,4668110000
1943,2018-08-23,6371.34,6546.54,6371.34,6534.88,3426180000
1944,2018-08-24,6551.52,6719.96,6498.64,6719.96,4097820000
1945,2018-08-25,6719.95,6789.63,6700.96,6763.19,3312600000
1946,2018-08-26,6754.64,6774.75,6620.75,6707.26,3295500000
1947,2018-08-27,6710.8,6884.64,6689.71,6884.64,4019000000
1948,2018-08-28,6891.08,7109.56,6882.34,7096.28,4659940000
1949,2018-08-29,7091.71,7113.3,6970.82,7047.16,4145880000
1950,2018-08-30,7043.76,7072.69,6834.69,6978.23,4463250000
1951,2018-08-31,6973.97,7057.17,6920.16,7037.58,4495650000
1952,2018-09-01,7044.81,7242.29,7038.05,7193.25,4116050000
1953,2018-09-02,7189.58,7306.31,7132.16,7272.72,4329540000
1954,2018-09-03,7279.03,7317.94,7208.15,7260.06,4087760000
1955,2018-09-04,7263.0,7388.26,7255.44,7361.66,4273640000
1956,2018-09-05,7361.46,7388.43,6792.83,6792.83,5800460000
1957,2018-09-06,6755.14,6755.14,6404.72,6529.17,5523470000
1958,2018-09-07,6528.92,6555.29,6396.87,6467.07,4264680000
1959,2018-09-08,6460.17,6534.25,6197.52,6225.98,3835060000
1960,2018-09-09,6223.38,6446.26,6201.22,6300.86,3671890000
1961,2018-09-10,6301.57,6374.98,6292.76,6329.7,3714100000
1962,2018-09-11,6331.88,6398.92,6260.21,6321.2,3849910000
1963,2018-09-12,6317.01,6363.87,6265.09,6351.8,4064230000
1964,2018-09-13,6354.24,6535.41,6354.24,6517.31,4210910000
1965,2018-09-14,6515.41,6596.1,6456.17,6512.71,4076220000
1966,2018-09-15,6509.4,6561.72,6493.55,6543.2,3216300000
1967,2018-09-16,6536.68,6544.33,6460.1,6517.18,3273730000
1968,2018-09-17,6514.06,6540.21,6257.52,6281.2,3910780000
1969,2018-09-18,6280.91,6384.18,6265.71,6371.3,4180090000
1970,2018-09-19,6371.85,6448.46,6208.34,6398.54,4431340000
1971,2018-09-20,6398.85,6529.26,6395.95,6519.67,4348110000
1972,2018-09-21,6513.87,6794.33,6496.36,6734.95,6531940000
1973,2018-09-22,6735.05,6814.56,6616.8,6721.98,4509660000
